name,emoji,group,subgroup,keywords,aliases
man factory worker: medium-dark skin tone,👨🏾‍🏭,Smileys & People,person-role,,man factory worker medium dark skin tone
man factory worker: dark skin tone,👨🏿‍🏭,Smileys & People,person-role,,man factory worker dark skin tone
woman factory worker,👩‍🏭,Smileys & People,person-role,"assembly, factory, industrial, woman, worker",woman factory worker
woman factory worker: light skin tone,👩🏻‍🏭,Smileys & People,person-role,,woman factory worker light skin tone
woman factory worker: medium-light skin tone,👩🏼‍🏭,Smileys & People,person-role,,woman factory worker medium light skin tone
woman factory worker: medium skin tone,👩🏽‍🏭,Smileys & People,person-role,,woman factory worker medium skin tone
woman factory worker: medium-dark skin tone,👩🏾‍🏭,Smileys & People,person-role,,woman factory worker medium dark skin tone
woman factory worker: dark skin tone,👩🏿‍🏭,Smileys & People,person-role,,woman factory worker dark skin tone
man office worker,👨‍💼,Smileys & People,person-role,"architect, business, man, man office worker, manager, office, white-collar, business",man office worker
man office worker: light skin tone,👨🏻‍💼,Smileys & People,person-role,,man office worker light skin tone
man office worker: medium-light skin tone,👨🏼‍💼,Smileys & People,person-role,,man office worker medium light skin tone
man office worker: medium skin tone,👨🏽‍💼,Smileys & People,person-role,,man office worker medium skin tone
man office worker: medium-dark skin tone,👨🏾‍💼,Smileys & People,person-role,,man office worker medium dark skin tone
man office worker: dark skin tone,👨🏿‍💼,Smileys & People,person-role,,man office worker dark skin tone
woman office worker,👩‍💼,Smileys & People,person-role,"architect, business, manager, office, white-collar, woman, woman office worker, business",woman office worker
woman office worker: light skin tone,👩🏻‍💼,Smileys & People,person-role,,woman office worker light skin tone
woman office worker: medium-light skin tone,👩🏼‍💼,Smileys & People,person-role,,woman office worker medium light skin tone
woman office worker: medium skin tone,👩🏽‍💼,Smileys & People,person-role,,woman office worker medium skin tone
woman office worker: medium-dark skin tone,👩🏾‍💼,Smileys & People,person-role,,woman office worker medium dark skin tone
woman office worker: dark skin tone,👩🏿‍💼,Smileys & People,person-role,,woman office worker dark skin tone
man scientist,👨‍🔬,Smileys & People,person-role,"biologist, chemist, engineer, man, mathematician, physicist, scientist, research",man scientist
man scientist: light skin tone,👨🏻‍🔬,Smileys & People,person-role,,man scientist light skin tone
man scientist: medium-light skin tone,👨🏼‍🔬,Smileys & People,person-role,,man scientist medium light skin tone
man scientist: medium skin tone,👨🏽‍🔬,Smileys & People,person-role,,man scientist medium skin tone
man scientist: medium-dark skin tone,👨🏾‍🔬,Smileys & People,person-role,,man scientist medium dark skin tone
man scientist: dark skin tone,👨🏿‍🔬,Smileys & People,person-role,,man scientist dark skin tone
woman scientist,👩‍🔬,Smileys & People,person-role,"biologist, chemist, engineer, mathematician, physicist, scientist, woman, research",woman scientist
woman scientist: light skin tone,👩🏻‍🔬,Smileys & People,person-role,,woman scientist light skin tone
woman scientist: medium-light skin tone,👩🏼‍🔬,Smileys & People,person-role,,woman scientist medium light skin tone
woman scientist: medium skin tone,👩🏽‍🔬,Smileys & People,person-role,,woman scientist medium skin tone
woman scientist: medium-dark skin tone,👩🏾‍🔬,Smileys & People,person-role,,woman scientist medium dark skin tone
woman scientist: dark skin tone,👩🏿‍🔬,Smileys & People,person-role,,woman scientist dark skin tone
man technologist,👨‍💻,Smileys & People,person-role,"coder, developer, inventor, man, software, technologist, coder",man technologist
man technologist: light skin tone,👨🏻‍💻,Smileys & People,person-role,,man technologist light skin tone
man technologist: medium-light skin tone,👨🏼‍💻,Smileys & People,person-role,,man technologist medium light skin tone
man technologist: medium skin tone,👨🏽‍💻,Smileys & People,person-role,,man technologist medium skin tone
man technologist: medium-dark skin tone,👨🏾‍💻,Smileys & People,person-role,,man technologist medium dark skin tone
man technologist: dark skin tone,👨🏿‍💻,Smileys & People,person-role,,man technologist dark skin tone
woman technologist,👩‍💻,Smileys & People,person-role,"coder, developer, inventor, software, technologist, woman, coder",woman technologist
woman technologist: light skin tone,👩🏻‍💻,Smileys & People,person-role,,woman technologist light skin tone
woman technologist: medium-light skin tone,👩🏼‍💻,Smileys & People,person-role,,woman technologist medium light skin tone
woman technologist: medium skin tone,👩🏽‍💻,Smileys & People,person-role,,woman technologist medium skin tone
woman technologist: medium-dark skin tone,👩🏾‍💻,Smileys & People,person-role,,woman technologist medium dark skin tone
woman technologist: dark skin tone,👩🏿‍💻,Smileys & People,person-role,,woman technologist dark skin tone
man singer,👨‍🎤,Smileys & People,person-role,"actor, entertainer, man, rock, singer, star, rockstar",man singer
man singer: light skin tone,👨🏻‍🎤,Smileys & People,person-role,,man singer light skin tone
man singer: medium-light skin tone,👨🏼‍🎤,Smileys & People,person-role,,man singer medium light skin tone
man singer: medium skin tone,👨🏽‍🎤,Smileys & People,person-role,,man singer medium skin tone
man singer: medium-dark skin tone,👨🏾‍🎤,Smileys & People,person-role,,man singer medium dark skin tone
man singer: dark skin tone,👨🏿‍🎤,Smileys & People,person-role,,man singer dark skin tone
woman singer,👩‍🎤,Smileys & People,person-role,"actor, entertainer, rock, singer, star, woman, rockstar",woman singer
woman singer: light skin tone,👩🏻‍🎤,Smileys & People,person-role,,woman singer light skin tone
woman singer: medium-light skin tone,👩🏼‍🎤,Smileys & People,person-role,,woman singer medium light skin tone
woman singer: medium skin tone,👩🏽‍🎤,Smileys & People,person-role,,woman singer medium skin tone
woman singer: medium-dark skin tone,👩🏾‍🎤,Smileys & People,person-role,,woman singer medium dark skin tone
woman singer: dark skin tone,👩🏿‍🎤,Smileys & People,person-role,,woman singer dark skin tone
man artist,👨‍🎨,Smileys & People,person-role,"artist, man, palette, painter",man artist
man artist: light skin tone,👨🏻‍🎨,Smileys & People,person-role,,man artist light skin tone
man artist: medium-light skin tone,👨🏼‍🎨,Smileys & People,person-role,,man artist medium light skin tone
man artist: medium skin tone,👨🏽‍🎨,Smileys & People,person-role,,man artist medium skin tone
man artist: medium-dark skin tone,👨🏾‍🎨,Smileys & People,person-role,,man artist medium dark skin tone
man artist: dark skin tone,👨🏿‍🎨,Smileys & People,person-role,,man artist dark skin tone
woman artist,👩‍🎨,Smileys & People,person-role,"artist, palette, woman, painter",woman artist
woman artist: light skin tone,👩🏻‍🎨,Smileys & People,person-role,,woman artist light skin tone
woman artist: medium-light skin tone,👩🏼‍🎨,Smileys & People,person-role,,woman artist medium light skin tone
woman artist: medium skin tone,👩🏽‍🎨,Smileys & People,person-role,,woman artist medium skin tone
woman artist: medium-dark skin tone,👩🏾‍🎨,Smileys & People,person-role,,woman artist medium dark skin tone
woman artist: dark skin tone,👩🏿‍🎨,Smileys & People,person-role,,woman artist dark skin tone
man pilot,👨‍✈️,Smileys & People,person-role,"man, pilot, plane",
man pilot,👨‍✈,Smileys & People,person-role,,man pilot
man pilot: light skin tone,👨🏻‍✈️,Smileys & People,person-role,,man pilot light skin tone
man pilot: light skin tone,👨🏻‍✈,Smileys & People,person-role,,man pilot light skin tone
man pilot: medium-light skin tone,👨🏼‍✈️,Smileys & People,person-role,,man pilot medium light skin tone
man pilot: medium-light skin tone,👨🏼‍✈,Smileys & People,person-role,,man pilot medium light skin tone
man pilot: medium skin tone,👨🏽‍✈️,Smileys & People,person-role,,man pilot medium skin tone
man pilot: medium skin tone,👨🏽‍✈,Smileys & People,person-role,,man pilot medium skin tone
man pilot: medium-dark skin tone,👨🏾‍✈️,Smileys & People,person-role,,man pilot medium dark skin tone
man pilot: medium-dark skin tone,👨🏾‍✈,Smileys & People,person-role,,man pilot medium dark skin tone
man pilot: dark skin tone,👨🏿‍✈️,Smileys & People,person-role,,man pilot dark skin tone
man pilot: dark skin tone,👨🏿‍✈,Smileys & People,person-role,,man pilot dark skin tone
woman pilot,👩‍✈️,Smileys & People,person-role,"pilot, plane, woman",
woman pilot,👩‍✈,Smileys & People,person-role,,woman pilot
woman pilot: light skin tone,👩🏻‍✈️,Smileys & People,person-role,,woman pilot light skin tone
woman pilot: light skin tone,👩🏻‍✈,Smileys & People,person-role,,woman pilot light skin tone
woman pilot: medium-light skin tone,👩🏼‍✈️,Smileys & People,person-role,,woman pilot medium light skin tone
woman pilot: medium-light skin tone,👩🏼‍✈,Smileys & People,person-role,,woman pilot medium light skin tone
woman pilot: medium skin tone,👩🏽‍✈️,Smileys & People,person-role,,woman pilot medium skin tone
woman pilot: medium skin tone,👩🏽‍✈,Smileys & People,person-role,,woman pilot medium skin tone
woman pilot: medium-dark skin tone,👩🏾‍✈️,Smileys & People,person-role,,woman pilot medium dark skin tone
woman pilot: medium-dark skin tone,👩🏾‍✈,Smileys & People,person-role,,woman pilot medium dark skin tone
woman pilot: dark skin tone,👩🏿‍✈️,Smileys & People,person-role,,woman pilot dark skin tone
woman pilot: dark skin tone,👩🏿‍✈,Smileys & People,person-role,,woman pilot dark skin tone
man astronaut,👨‍🚀,Smileys & People,person-role,"astronaut, man, rocket, space",man astronaut
man astronaut: light skin tone,👨🏻‍🚀,Smileys & People,person-role,,man astronaut light skin tone
man astronaut: medium-light skin tone,👨🏼‍🚀,Smileys & People,person-role,,man astronaut medium light skin tone
man astronaut: medium skin tone,👨🏽‍🚀,Smileys & People,person-role,,man astronaut medium skin tone
man astronaut: medium-dark skin tone,👨🏾‍🚀,Smileys & People,person-role,,man astronaut medium dark skin tone
man astronaut: dark skin tone,👨🏿‍🚀,Smileys & People,person-role,,man astronaut dark skin tone
woman astronaut,👩‍🚀,Smileys & People,person-role,"astronaut, rocket, woman, space",woman astronaut
woman astronaut: light skin tone,👩🏻‍🚀,Smileys & People,person-role,,woman astronaut light skin tone
woman astronaut: medium-light skin tone,👩🏼‍🚀,Smileys & People,person-role,,woman astronaut medium light skin tone
woman astronaut: medium skin tone,👩🏽‍🚀,Smileys & People,person-role,,woman astronaut medium skin tone
woman astronaut: medium-dark skin tone,👩🏾‍🚀,Smileys & People,person-role,,woman astronaut medium dark skin tone
woman astronaut: dark skin tone,👩🏿‍🚀,Smileys & People,person-role,,woman astronaut dark skin tone
man firefighter,👨‍🚒,Smileys & People,person-role,"firefighter, firetruck, man",man firefighter
man firefighter: light skin tone,👨🏻‍🚒,Smileys & People,person-role,,man firefighter light skin tone
man firefighter: medium-light skin tone,👨🏼‍🚒,Smileys & People,person-role,,man firefighter medium light skin tone
